ID_Cliente,Fecha,Categoria,Monto,ID_Transaccion,Nombre,Edad,Ciudad,Cantidad_Compras,Monto_Total,Valor_Dolar,Monto_USD,Monto_total_USD,Nivel_gasto_total,Nueva_Categoria,Monto_norm,Total_transacciones,Gasto_total_tx
1,2025-02-06,Alimentos,43234.0,3,Sofía Céspedes,26,La Serena,3,86427.0,969.47,41914065.980000004,83788383.69,Medio,Alimentos,0.022276667520710565,3,90051.0
1,2025-03-22,Hogar,25454.0,2,Sofía Céspedes,26,La Serena,3,86427.0,926.15,23574222.099999998,80044366.05,Medio,Hogar,0.012786104705781877,3,90051.0
1,2025-07-05,Alimentos,21363.0,1,Sofía Céspedes,26,La Serena,3,86427.0,927.87,19822086.81,80193020.49,Medio,Alimentos,0.010602421214450423,3,90051.0
2,2025-09-29,Alimentos,11319.0,5,Fernanda Vergara,46,Temuco,5,114303.0,958.9,10853789.1,109605146.7,Medio,Alimentos,0.0052411606456571865,5,114194.0
2,2025-09-02,Desconocido,11121.0,8,Fernanda Vergara,46,Temuco,5,114303.0,968.35,10769020.35,110685310.05,Medio,No especificado,0.005135472713297463,5,114194.0
2,2025-04-09,Desconocido,41672.0,7,Fernanda Vergara,46,Temuco,5,114303.0,993.89,41417384.08,113604608.67,Medio,No especificado,0.021442907165428304,5,114194.0
2,2025-09-03,Alimentos,26419.0,6,Fernanda Vergara,46,Temuco,5,114303.0,974.13,25735540.47,111345981.39,Medio,Alimentos,0.013301199931676487,5,114194.0
2,2025-06-30,Deportes,23663.0,4,Fernanda Vergara,46,Temuco,5,114303.0,935.74,22142415.62,106957889.22,Medio,Deportes,0.011830109317618926,5,114194.0
3,2025-02-08,Deportes,23313.0,11,Joaquín Flores,35,Temuco,3,43599.0,967.59,22557425.67,42185956.410000004,Bajo,Deportes,0.011643287214962848,3,41011.0
3,2025-07-30,Belleza,4927.0,9,Joaquín Flores,35,Temuco,3,43599.0,970.09,4779633.43,42294953.910000004,Bajo,Cuidado personal,0.0018292552737210694,3,41011.0
3,2025-11-26,Moda,12771.0,10,Joaquín Flores,35,Temuco,3,43599.0,937.15,11968342.65,40858802.85,Bajo,Vestuario,0.006016205482961824,3,41011.0
4,2025-03-22,Moda,8637.0,17,Pablo Torres,32,Valparaíso,6,101303.0,926.15,7999157.55,93821773.45,Medio,Vestuario,0.0038095695618754802,6,101954.0
4,2025-10-07,Electrónica,29607.0,13,Pablo Torres,32,Valparaíso,6,101303.0,963.09,28514205.630000003,97563906.27,Medio,Tecnología,0.015002882398155264,6,101954.0
4,2025-12-10,Hogar,46545.0,16,Pablo Torres,32,Valparaíso,6,101303.0,926.89,43142095.05,93896737.67,Medio,Hogar,0.024044004611837047,6,101954.0
4,2025-07-06,Hogar,7020.0,14,Pablo Torres,32,Valparaíso,6,101303.0,927.87,6513647.4,93996014.61,Medio,Hogar,0.0029464514476044068,6,101954.0
4,2025-06-12,Hogar,4638.0,12,Pablo Torres,32,Valparaíso,6,101303.0,936.36,4342837.68,94856077.08,Medio,Hogar,0.001674993594670766,6,101954.0
4,2025-09-11,Moda,5507.0,15,Pablo Torres,32,Valparaíso,6,101303.0,962.73,5301754.11,97527437.19,Medio,Vestuario,0.002138846186693996,6,101954.0
5,2025-04-06,Deportes,50170.0,19,Pablo Rojas,34,Valparaíso,3,144745.0,946.59,47490420.300000004,137014169.55,Medio,Deportes,0.02597894781791784,3,143745.0
5,2025-09-23,Belleza,69901.0,20,Pablo Rojas,34,Valparaíso,3,144745.0,954.72,66735882.72,138190946.4,Medio,Cuidado personal,0.036510910410795114,3,143745.0
5,2025-03-18,Deportes,23674.0,18,Pablo Rojas,34,Valparaíso,3,144745.0,923.32,21858677.68,133645953.4,Medio,Deportes,0.011835980869416687,3,143745.0
6,2025-10-08,Hogar,8099.0,24,Gabriel Soto,38,Antofagasta,4,106510.0,961.61,7788079.39,102421081.1,Medio,Hogar,0.0035223973012212828,4,108053.0
6,2026-01-17,Belleza,8093.0,22,Gabriel Soto,38,Antofagasta,4,106510.0,911.18,7374179.739999999,97049781.8,Medio,Cuidado personal,0.0035191946366043216,4,108053.0
6,2025-11-03,Alimentos,24208.0,21,Gabriel Soto,38,Antofagasta,4,106510.0,943.69,22844847.52,100512421.9,Medio,Alimentos,0.012121018020326245,4,108053.0
6,2025-05-13,Deportes,67653.0,23,Gabriel Soto,38,Antofagasta,4,106510.0,941.2,63675003.6,100247212.0,Medio,Deportes,0.03531097873430694,4,108053.0
7,2025-12-20,Electrónica,5335.0,27,Sofía Contreras,42,Santiago,6,83749.0,914.99,4881471.65,76629497.51,Medio,Tecnología,0.0020470364676744386,6,83100.0
7,2025-03-16,Alimentos,1500.0,25,Sofía Contreras,42,Santiago,6,83749.0,940.2,1410300.0,78740809.8,Medio,Alimentos,0.0,6,83100.0
7,2025-08-10,Juguetes,11261.0,30,Sofía Contreras,42,Santiago,6,83749.0,971.88,10944340.68,81393978.12,Medio,Entretenimiento,0.005210201554359894,6,83100.0
7,2025-03-24,Electrónica,1500.0,26,Sofía Contreras,42,Santiago,6,83749.0,932.14,1398210.0,78065792.86,Medio,Tecnología,0.0,6,83100.0
7,2025-12-15,Deportes,56066.0,29,Sofía Contreras,42,Santiago,6,83749.0,912.66,51169195.559999995,76434362.34,Medio,Deportes,0.02912609958151849,6,83100.0
7,2025-03-07,Hogar,7438.0,28,Sofía Contreras,42,Santiago,6,83749.0,926.52,6891455.76,77595123.48,Medio,Hogar,0.0031695704159193784,6,83100.0
8,2025-02-20,Belleza,163470.0,32,Joaquín Rojas,23,Antofagasta,4,115258.0,951.78,155587476.6,109700259.24,Medio,Cuidado personal,0.08645593133487062,4,273907.0
