ID_Cliente,Fecha,Categoria,Monto,ID_Transaccion,Nombre,Edad,Ciudad,Cantidad_Compras,Monto_Total,Valor_Dolar
394,2025-05-16,Electrónica,9693,1756,Vicente Flores,30.0,Santiago,2,12903,940.25
287,2025-04-27,Belleza,10997,1282,Valentina González,39.0,Antofagasta,6,184961,
76,2026-01-27,Alimentos,90194,351,Benjamín Pérez,43.0,Valparaíso,6,242674,
92,2025-10-11,Electrónica,36177,421,Ignacio Torres,,Santiago,4,50116,
13,2025-12-01,Juguetes,44409,57,Daniela Sepúlveda,40.0,Santiago,8,436526,928.16
353,2025-10-27,Moda,37394,1557,Martina Flores,49.0,Antofagasta,4,96110,943.47
190,2025-07-09,Deportes,11832,846,Mateo Martínez,35.0,Valparaíso,4,102301,945.39
374,2026-01-05,Hogar,40083,1658,Josefa Céspedes,25.0,Santiago,5,293670,
24,2025-09-02,Electrónica,6029,112,Antonia Sepúlveda,45.0,Concepción,4,73085,968.35
467,2025-03-29,Electrónica,48655,2075,Valentina Silva,18.0,Rancagua,5,234537,
436,2025-10-14,Juguetes,25822,1946,Camila Flores,33.0,Santiago,6,169964,957.66
37,2025-10-19,Moda,10226,180,Gabriel Soto,43.0,Valparaíso,4,104219,
120,2025-10-23,Moda,37937,533,Camila Céspedes,18.0,Santiago,2,40647,950.46
172,2025-09-04,Hogar,8128,756,Sofía Silva,34.0,Concepción,9,167098,969.46
351,2025-07-12,Moda,62654,1547,Tomás Flores,40.0,Santiago,8,244951,
378,2025-12-18,Belleza,104625,1677,Daniela Martínez,23.0,Santiago,9,315431,917.45
329,2025-04-09,Moda,23417,1456,Camila Torres,45.0,Temuco,8,243402,993.89
415,2025-11-24,Alimentos,2629,1860,Ana Silva,18.0,Talca,5,32925,937.36
77,2025-04-14,Electrónica,62982,355,Mateo Torres,36.0,Temuco,3,134992,978.09
420,2025-07-24,Deportes,13300,1877,Tomás Silva,50.0,Valparaíso,2,35187,948.93
365,2025-04-16,Moda,9529,1608,Camila Sepúlveda,22.0,Santiago,12,228862,967.15
311,2025-07-26,Electrónica,12516,1387,Joaquín González,54.0,Santiago,7,170137,
407,2025-10-26,Deportes,8966,1819,Pablo Pérez,18.0,Valparaíso,10,127768,
333,2025-08-12,Alimentos,27279,1473,Mateo Soto,23.0,Santiago,6,254770,969.77
229,2026-01-22,Hogar,33382,1042,Tomás Soto,59.0,Valparaíso,5,143760,
390,2025-11-06,Juguetes,25818,1741,Valentina Rojas,30.0,Concepción,5,154388,945.6
232,2025-03-25,Moda,8674,1058,Gabriel Pérez,53.0,Santiago,7,128605,926.41
81,2025-05-03,Belleza,67288,369,Antonia Céspedes,42.0,Valparaíso,8,276772,
263,2025-08-20,Deportes,27644,1180,Martina Flores,42.0,Santiago,6,74895,963.57
275,2025-11-18,Alimentos,18510,1229,Pablo Sepúlveda,23.0,Santiago,5,97151,919.82
22,2025-09-26,Hogar,11492,101,Josefa Muñoz,31.0,Santiago,3,45041,956.42
